timestamp,variance,template_file,score,match,client_ip
2025-11-02 21:57:45,2187.841375063783,templates\template_10.dat,24.411325753898033,False,172.20.10.14
2025-11-02 22:00:27,1810.067651318179,duplicate,94.31425174266587,True,172.20.10.14
2025-11-02 22:02:46,1787.7540339185498,duplicate,93.53560261265025,True,172.20.10.14
2025-11-02 22:13:49,2056.5071558746295,duplicate,75.52109597063804,True,172.20.10.14
2025-11-02 22:14:25,2038.0845270620453,duplicate,125.54606683890599,True,172.20.10.14
2025-11-02 22:15:05,2274.7703930520347,duplicate,70.0907923189712,True,172.20.10.14
2025-11-02 22:15:32,2442.414575085044,duplicate,105.49294261910165,True,172.20.10.14
2025-11-02 22:15:56,1916.8969592472286,duplicate,104.36064748198947,True,172.20.10.14
2025-11-02 22:16:17,2392.9113099575043,duplicate,88.0869716057766,True,172.20.10.14
2025-11-02 22:16:52,1816.8699146625067,duplicate,123.55157623798999,True,172.20.10.14
2025-11-02 22:17:30,2257.3046761307814,duplicate,74.47410380787676,True,172.20.10.14
2025-11-02 22:17:49,1875.5917789840403,duplicate,78.02115633697372,True,172.20.10.14
2025-11-02 22:18:09,2286.3152383139104,duplicate,61.75033106580825,True,172.20.10.14
2025-11-02 22:18:27,1970.677228715685,duplicate,48.35327507538478,True,172.20.10.14
2025-11-02 22:18:45,1953.3251829263236,duplicate,83.21136145063923,True,172.20.10.14
2025-11-02 22:19:11,2149.0862019854935,duplicate,64.0573123797631,True,172.20.10.14
